Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
26856502,"Vengeful (Villains, #2)",V.E. Schwab,"Schwab, V.E.",,,,0,4.17,Tor,Kindle Edition,462,2018,2018,,5/16/2022,to-read,to-read (#42),to-read,,,,0,0
40874032,"Vicious (Villains, #1)",V.E. Schwab,"Schwab, V.E.",,,,4,4.22,Tor Books,Kindle Edition,366,2013,2013,6/30/2022,4/18/2022,2022,2022 (#45),read,,,,1,0
18710190,"Allegiant (Divergent, #3)",Veronica Roth,"Roth, Veronica",,0007524277,9780007524273,1,3.6,HarperCollins Children's Book's,Hardcover,531,2013,2013,,4/23/2016,,,read,,,,1,0
13335037,"Divergent (Divergent, #1)",Veronica Roth,"Roth, Veronica",,0062024035,9780062024039,4,4.15,Katherine Tegen Books,Paperback,487,2012,2011,,4/23/2016,,,read,,,,1,0
18126198,"Four: A Divergent Story Collection (Divergent, #0.1-0.4)",Veronica Roth,"Roth, Veronica",,0062285688,9780062285683,2,3.97,Katherine Tegen Books,Paperback,285,2014,2014,,4/23/2016,,,read,,,,1,0
18080922,"Four: The Son (Divergent, #0.3)",Veronica Roth,"Roth, Veronica",,0062285661,9780062285669,1,4.07,Katherine Tegen Books,ebook,65,2014,2014,,7/12/2017,,,read,,,,1,0
11735983,"Insurgent (Divergent, #2)",Veronica Roth,"Roth, Veronica",,0007442912,9780007442911,2,3.98,HarperCollins Children's Books,Hardcover,525,2012,2012,,4/23/2016,,,read,,,,1,0
18080923,"The Traitor (Divergent, #0.4)",Veronica Roth,"Roth, Veronica",,006228567X,9780062285676,1,4.14,Katherine Tegen Books,Unknown Binding,48,2014,2014,,7/12/2017,,,read,,,,1,0
22328546,"Red Queen (Red Queen, #1)",Victoria Aveyard,"Aveyard, Victoria",,,,2,4.01,HarperTeen,Hardcover,388,2015,2015,,4/23/2016,2016,2016 (#1),read,,,,1,0
58674844,"Winter Gods & Serpents (The Auran Chronicles, #1)",Wendy Heiss,"Heiss, Wendy",,1399908219,9781399908214,0,3.99,Nielsen,Paperback,654,2021,2021,,11/7/2022,to-read,to-read (#137),to-read,,,,0,0
11808950,"Sweet Evil (Sweet, #1)",Wendy Higgins,"Higgins, Wendy",,0062085611,9780062085610,4,4.08,HarperTeen,Paperback,447,2012,2012,,4/23/2016,2016,2016 (#14),read,,,,1,0
15768191,"Sweet Peril (Sweet, #2)",Wendy Higgins,"Higgins, Wendy",,0062265946,9780062265944,0,4.24,HarperTeen,Paperback,375,2013,2013,8/11/2016,8/9/2016,2016,2016 (#43),read,,,,1,0
16007855,"Sweet Reckoning (Sweet, #3)",Wendy Higgins,"Higgins, Wendy",,0062265970,9780062265975,4,4.29,HarperTeen,Paperback,379,2014,2014,8/13/2016,8/11/2016,2016,2016 (#44),read,,,,1,0
24039422,"Sweet Temptation (Sweet, #4)",Wendy Higgins,"Higgins, Wendy",,0062381423,9780062381422,4,4.22,HarperTeen,Paperback,484,2015,2015,6/24/2017,6/20/2017,2017,2017 (#42),read,,,,1,0
60730784,"A Kingdom of Flame and Fury (The Four Kingdoms, #1)",Whitney Dean,"Dean, Whitney",,,9798986011806,0,3.7,Phantom House Press,Kindle Edition,547,2022,,,11/7/2022,to-read,to-read (#134),to-read,,,,0,0
52459864,"Iron Widow (Iron Widow, #1)",Xiran Jay Zhao,"Zhao, Xiran Jay",,0735269939,9780735269934,0,4.09,Penguin Teen,Hardcover,391,2021,2021,,7/16/2022,to-read,to-read (#66),to-read,,,,0,0
37800111,The Last Children of Tokyo,Yōko Tawada,"Tawada, Yōko",Margaret Mitsutani,1846276705,9781846276705,0,3.45,Portobello Books,Paperback,138,2018,2014,,8/22/2023,currently-reading,currently-reading (#3),currently-reading,,,,1,0
22510983,"Girl Online (Girl Online, #1)",Zoe Sugg,"Sugg, Zoe",Siobhan Curham,0141357274,9780141357270,1,3.66,Atria / Keywords Press,Hardcover,352,2014,2014,5/21/2016,5/12/2016,2016,2016 (#33),read,,,,1,0
23208406,On Tour (Girl Online #2),Zoe Sugg,"Sugg, Zoe",,,,1,3.74,Keywords Press,Hardcover,352,2015,2015,,5/21/2016,2016,2016 (#34),read,,,,1,0
