Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Read Count,Series
55240343,The ​Crown of Gilded Bones ,Jennifer L. Armentrout,"Armentrout, Jennifer L.",,1952457254,9781952457258.0,3,4.2,Blue Box Press,Paperback,645,2021.0,2021.0,5/30/2021,5/23/2021,2021,2021 (#7),read,,1,"Blood and Ash, #3"
57815107,The War of Two Queens ,Jennifer L. Armentrout,"Armentrout, Jennifer L.",,,9781952457722.0,3,4.08,Blue Box Press,ebook,628,2022.0,2022.0,3/21/2022,1/6/2022,2022,2022 (#28),read,I don’t know how I feel about this series,1,"Blood and Ash, #4"
17455585,White Hot Kiss ,Jennifer L. Armentrout,"Armentrout, Jennifer L.",,,,4,4.19,Harlequin Teen,Kindle Edition,388,2014.0,2014.0,8/30/2017,8/2/2017,2017,2017 (#50),read,,1,"The Dark Elements, #1"
52439531,The Inheritance Games ,Jennifer Lynn Barnes,"Barnes, Jennifer Lynn",,1368052401,9781368052405.0,3,4.19,"Little, Brown Books for Young Readers",Hardcover,386,2020.0,2020.0,7/27/2021,7/19/2021,2021,2021 (#15),read,,1,"The Inheritance Games, #1"
28686840,Holding Up the Universe,Jennifer Niven,"Niven, Jennifer",,0385755929,9780385755924.0,1,3.71,Knopf Books for Young Readers,Hardcover,391,2016.0,2016.0,,8/9/2017,"2017, owned","2017 (#58), owned (#56)",read,,1,
54860614,Ariadne,Jennifer Saint,"Saint, Jennifer",,125077358X,9781250773586.0,0,3.81,Flatiron Books,Hardcover,320,2021.0,2021.0,,7/12/2022,to-read,to-read (#62),to-read,,0,
59692061,Between Wrath and Mercy ,Jess Wisecup,"Wisecup, Jess",,,9798790103902.0,0,4.16,Independently published,Paperback,566,2022.0,2022.0,,11/7/2022,to-read,to-read (#144),to-read,,0,"The Divine Between, #1"
60784605,Maame,Jessica George,"George, Jessica",,,,0,4.08,St. Martin's Press,Hardcover,320,2023.0,2023.0,,12/13/2022,to-read,to-read (#172),to-read,,0,
26106502,The Year I Became Isabella Anders ,Jessica Sorensen,"Sorensen, Jessica",,,,3,3.96,,Paperback,248,2015.0,2015.0,2/22/2017,2/22/2017,2017,2017 (#29),read,,1,"Sunnyvale, #1"
26245953,The Year of Falling in Love ,Jessica Sorensen,"Sorensen, Jessica",,,,3,4.05,,ebook,198,2016.0,2016.0,2/24/2017,2/23/2017,2017,2017 (#30),read,,1,"Sunnyvale, #2"
28442624,The Year of Second Chances ,Jessica Sorensen,"Sorensen, Jessica",,,,3,4.0,,ebook,170,2016.0,2016.0,2/24/2017,2/24/2017,2017,2017 (#31),read,,1,"Sunnyvale, #3"
11870085,The Fault in Our Stars,John Green,"Green, John",,,,1,4.14,Dutton Books,Hardcover,313,2012.0,2012.0,,4/23/2016,owned,owned (#12),read,,1,
30152023,Rogue Lawyer ,John Grisham,"Grisham, John",,0553393480,9780553393484.0,3,3.78,Anchor,Mass Market Paperback,400,2016.0,2015.0,,8/31/2018,"2018, owned","2018 (#20), owned (#43)",read,,1,"Rogue Lawyer, #1"
52694527,The Shadow of the Gods ,John Gwynne,"Gwynne, John",,0356514188,9780356514185.0,0,4.26,Orbit,Hardcover,480,2021.0,2021.0,,7/19/2023,to-read,to-read (#222),to-read,,0,"The Bloodsworn Saga, #1"
58659343,Our Wives Under the Sea,Julia Armfield,"Armfield, Julia",,152901722X,9781529017229.0,0,3.82,Picador,Paperback,240,2022.0,2022.0,,1/26/2023,to-read,to-read (#193),to-read,,0,
44107480,Lovely War,Julie Berry,"Berry, Julie",,,,0,4.24,Viking Books for Young Readers,Hardcover,471,2019.0,2019.0,,10/11/2022,to-read,to-read (#90),to-read,,0,
11098871,Summer's Crossing ,Julie Kagawa,"Kagawa, Julie",,1459206401,9781459206403.0,4,4.07,Harlequin Teen,ebook,72,2011.0,2011.0,1/10/2017,1/9/2017,2017,2017 (#15),read,,1,"Iron Fey, #3.5"
7747064,The Iron Daughter ,Julie Kagawa,"Kagawa, Julie",,0373210132,9780373210138.0,4,4.08,Harlequin Teen,Paperback,359,2010.0,2010.0,1/7/2017,1/1/2017,2017,2017 (#10),read,,1,"The Iron Fey, #2"
6644117,The Iron King ,Julie Kagawa,"Kagawa, Julie",,0373210086,9780373210084.0,2,3.88,Harlequin Teen,Paperback,363,2010.0,2010.0,1/1/2017,12/18/2016,2017,2017 (#8),read,,1,"The Iron Fey, #1"
9659607,The Iron Knight ,Julie Kagawa,"Kagawa, Julie",,0373210361,9780373210367.0,5,4.18,Harlequin TEEN,Paperback,400,2011.0,2011.0,1/23/2017,1/10/2017,2017,2017 (#16),read,,1,"The Iron Fey, #4"
8685612,The Iron Queen ,Julie Kagawa,"Kagawa, Julie",,0373210183,9780373210183.0,4,4.2,Harlequin Teen,Paperback,384,2011.0,2011.0,1/9/2017,1/7/2017,2017,2017 (#14),read,,1,"The Iron Fey, #3"
8070049,Winter's Passage ,Julie Kagawa,"Kagawa, Julie",,1426858329,9781426858321.0,3,3.93,Harlequin Teen,ebook,59,2010.0,2010.0,1/1/2017,1/1/2017,2017,2017 (#11),read,,1,"Iron Fey, #1.5"
57198961,A Fate of Wrath & Flame ,K.A. Tucker,"Tucker, K.A.",,1990105149,,0,4.17,K.A. Tucker,Kindle Edition,547,2021.0,2021.0,,11/7/2022,to-read,to-read (#132),to-read,,0,"Fate & Flame, #1"
60283689,A Lust for Blood ,K.C.  Smith,"Smith, K.C.",,,,0,3.64,,Paperback,354,2022.0,,,11/7/2022,to-read,to-read (#143),to-read,,0,"Realm of Curses, #1"
58785677,A Ruin of Roses ,K.F. Breene,"Breene, K.F.",,,,0,3.83,Independently Published,Kindle Edition,386,2021.0,2021.0,,11/6/2022,to-read,to-read (#131),to-read,,0,"Deliciously Dark Fairytales, #1"
49858150,Chosen ,K.F. Breene,"Breene, K.F.",,,,0,4.1,,Kindle Edition,413,2019.0,2014.0,,11/6/2022,to-read,to-read (#120),to-read,,0,"The Warrior Chronicles, #1"
